source_type,volume_gb,update_frequency_hrs,num_columns,has_joins,priority,pipeline_type
postgres,2.36,12,158,1,2,batch_hourly
csv,0.44,6,131,0,2,micro_batch
postgres,7.51,168,7,0,1,weekly_snapshot
api,4.09,6,131,1,1,micro_batch
api,2.76,24,45,1,3,batch_daily
api,11.84,1,192,0,1,stream
api,0.59,6,110,1,3,micro_batch
csv,3.39,1,18,1,2,stream
s3,0.06,168,16,1,2,weekly_snapshot
mysql,3.16,1,91,1,3,stream
api,0.29,6,16,0,1,micro_batch
postgres,0.63,24,145,1,2,batch_daily
api,0.63,168,29,1,1,weekly_snapshot
postgres,5.24,6,49,0,2,micro_batch
postgres,6.85,168,126,0,3,weekly_snapshot
api,4.38,12,151,1,3,batch_hourly
csv,16.37,1,59,0,3,stream
postgres,2.35,12,104,1,2,batch_hourly
postgres,1.68,6,177,1,1,micro_batch
api,10.15,24,140,0,1,batch_daily
postgres,1.27,168,123,1,1,weekly_snapshot
postgres,16.51,1,57,1,2,stream
api,0.06,168,187,1,2,weekly_snapshot
api,17.51,6,36,1,2,micro_batch
mysql,0.22,168,55,0,2,weekly_snapshot
csv,11.09,1,48,0,2,stream
csv,3.75,6,86,1,1,micro_batch
postgres,24.78,168,150,0,2,weekly_snapshot
csv,0.38,24,154,1,2,batch_daily
postgres,4.04,6,41,1,1,micro_batch
mysql,17.42,6,100,1,2,micro_batch
api,3.7,24,60,1,1,batch_daily
api,4.96,12,109,1,1,batch_hourly
api,5.95,1,63,0,3,stream
csv,3.03,12,135,1,3,batch_hourly
mysql,4.94,168,160,0,3,weekly_snapshot
csv,4.39,24,39,0,3,batch_daily
csv,11.57,12,193,1,2,batch_hourly
mysql,0.23,6,97,1,3,micro_batch
mysql,1.65,168,186,1,1,weekly_snapshot
mysql,15.02,168,195,1,2,weekly_snapshot
mysql,11.05,12,101,1,3,batch_hourly
api,3.04,12,139,0,1,batch_hourly
s3,4.84,24,80,1,2,batch_daily
s3,1.62,1,53,1,2,stream
mysql,1.04,12,98,0,3,batch_hourly
s3,3.12,12,163,0,2,batch_hourly
s3,2.18,6,190,1,1,micro_batch
mysql,4.38,168,193,0,2,weekly_snapshot
s3,0.4,1,28,1,1,stream
csv,18.32,6,152,0,2,micro_batch
postgres,21.42,24,41,0,3,batch_daily
postgres,5.99,24,8,1,1,batch_daily
mysql,3.84,12,112,0,2,batch_hourly
api,1.85,12,130,0,2,batch_hourly
mysql,8.4,24,24,0,2,batch_daily
api,5.77,12,192,0,1,batch_hourly
postgres,0.89,1,156,0,1,stream
mysql,12.09,12,54,0,1,batch_hourly
csv,8.64,168,181,1,3,weekly_snapshot
s3,14.96,12,183,1,3,batch_hourly
api,6.47,6,100,0,1,micro_batch
s3,4.75,1,109,1,2,stream
s3,2.71,6,168,1,3,micro_batch
mysql,13.5,6,121,1,1,micro_batch
s3,10.05,168,102,0,2,weekly_snapshot
csv,0.23,1,70,1,3,stream
s3,0.13,1,83,0,2,stream
mysql,2.36,1,166,1,2,stream
csv,8.32,1,168,0,2,stream
postgres,21.82,1,10,0,2,stream
s3,0.82,168,43,1,3,weekly_snapshot
mysql,4.51,12,174,1,3,batch_hourly
postgres,2.4,6,119,0,3,micro_batch
postgres,17.52,1,190,1,1,stream
api,9.23,12,129,1,3,batch_hourly
csv,9.11,12,16,1,2,batch_hourly
s3,3.16,6,135,0,3,micro_batch
mysql,2.68,168,22,0,2,weekly_snapshot
api,1.6,24,44,1,1,batch_daily
csv,0.29,24,25,1,2,batch_daily
api,10.0,12,147,1,2,batch_hourly
csv,8.38,6,103,0,2,micro_batch
csv,40.86,24,30,0,1,batch_daily
s3,28.47,12,12,1,3,batch_hourly
csv,4.05,168,104,1,3,weekly_snapshot
api,7.33,24,91,1,1,batch_daily
csv,14.48,12,46,1,2,batch_hourly
s3,9.47,12,176,1,3,batch_hourly
s3,1.42,1,18,1,1,stream
api,2.99,168,82,0,3,weekly_snapshot
postgres,0.69,1,6,1,1,stream
postgres,15.4,6,123,0,2,micro_batch
csv,4.66,1,41,1,3,stream
mysql,1.3,1,73,1,1,stream
csv,5.57,24,170,0,3,batch_daily
api,4.81,12,45,0,3,batch_hourly
api,2.22,168,66,0,3,weekly_snapshot
api,0.6,1,64,0,3,stream
api,5.57,168,129,1,1,weekly_snapshot
api,3.67,1,115,0,2,stream
s3,7.4,6,18,1,1,micro_batch
postgres,3.67,1,88,0,1,stream
api,9.56,24,134,1,1,batch_daily
mysql,4.01,12,74,1,2,batch_hourly
mysql,4.12,6,149,1,3,micro_batch
mysql,10.46,1,127,1,3,stream
mysql,2.58,168,93,1,3,weekly_snapshot
s3,0.72,6,32,1,2,micro_batch
mysql,0.15,6,70,0,3,micro_batch
api,7.04,1,167,1,2,stream
csv,4.84,6,9,0,3,micro_batch
mysql,6.09,168,197,0,3,weekly_snapshot
s3,1.2,6,172,1,1,micro_batch
s3,0.73,168,188,0,2,weekly_snapshot
mysql,0.07,1,168,1,1,stream
csv,2.16,12,49,0,1,batch_hourly
mysql,4.46,6,155,1,1,micro_batch
s3,2.49,12,51,0,2,batch_hourly
postgres,2.88,168,35,1,2,weekly_snapshot
api,11.73,6,143,1,3,micro_batch
s3,2.14,24,14,1,1,batch_daily
mysql,3.61,12,199,1,3,batch_hourly
api,7.65,6,122,0,1,micro_batch
mysql,2.53,12,18,1,2,batch_hourly
mysql,4.87,6,84,0,2,micro_batch
postgres,9.92,1,97,0,2,stream
api,14.93,12,14,0,1,batch_hourly
api,0.8,24,80,1,2,batch_daily
postgres,13.06,24,98,0,1,batch_daily
s3,3.39,168,109,0,3,weekly_snapshot
mysql,1.49,6,5,0,1,micro_batch
csv,3.07,12,137,1,3,batch_hourly
mysql,19.57,168,24,1,1,weekly_snapshot
mysql,3.39,12,12,0,3,batch_hourly
s3,1.99,6,175,1,2,micro_batch
mysql,5.02,24,5,1,3,batch_daily
postgres,1.37,1,61,0,2,stream
postgres,0.39,24,68,0,2,batch_daily
api,0.69,168,122,1,3,weekly_snapshot
csv,0.69,1,32,0,1,stream
mysql,0.82,168,125,1,1,weekly_snapshot
mysql,0.75,6,111,1,1,micro_batch
s3,5.12,1,169,1,1,stream
postgres,1.0,168,179,1,1,weekly_snapshot
csv,2.12,6,169,1,2,micro_batch
api,11.35,24,53,1,1,batch_daily
postgres,3.21,6,124,0,2,micro_batch
api,5.51,12,48,0,2,batch_hourly
s3,0.95,6,60,1,2,micro_batch
s3,1.07,6,160,1,3,micro_batch
mysql,0.21,12,115,1,3,batch_hourly
csv,0.93,168,138,0,2,weekly_snapshot
api,1.63,168,112,1,3,weekly_snapshot
postgres,0.97,6,193,0,1,micro_batch
s3,0.46,12,152,1,1,batch_hourly
mysql,0.64,12,118,1,2,batch_hourly
mysql,3.09,24,82,0,1,batch_daily
api,1.16,168,134,0,2,weekly_snapshot
s3,2.26,1,41,1,2,stream
csv,3.5,168,24,1,1,weekly_snapshot
s3,5.86,168,30,1,3,weekly_snapshot
api,0.2,24,33,0,1,batch_daily
api,8.03,1,5,0,1,stream
s3,4.94,24,123,0,2,batch_daily
api,0.43,1,39,0,2,stream
s3,10.34,6,63,0,2,micro_batch
postgres,12.68,1,73,0,2,stream
s3,0.32,24,165,1,3,batch_daily
s3,1.62,168,183,1,3,weekly_snapshot
api,8.2,1,16,0,3,stream
api,6.9,1,24,1,2,stream
mysql,1.02,12,185,1,2,batch_hourly
mysql,1.17,168,47,0,2,weekly_snapshot
postgres,2.31,6,130,1,3,micro_batch
mysql,3.31,24,54,0,2,batch_daily
s3,4.82,6,33,0,1,micro_batch
api,2.3,168,189,1,1,weekly_snapshot
mysql,3.1,1,43,0,2,stream
mysql,6.88,1,188,0,1,stream
postgres,0.19,168,175,0,1,weekly_snapshot
postgres,1.45,1,182,0,3,stream
s3,6.25,1,155,0,2,stream
api,11.28,1,176,0,2,stream
postgres,3.58,24,42,0,3,batch_daily
mysql,3.8,24,88,0,1,batch_daily
api,0.57,12,155,1,1,batch_hourly
api,2.97,6,132,1,2,micro_batch
mysql,3.8,168,130,1,1,weekly_snapshot
postgres,1.39,168,49,0,3,weekly_snapshot
mysql,1.57,168,56,0,3,weekly_snapshot
api,2.37,12,84,1,2,batch_hourly
csv,0.1,24,182,1,3,batch_daily
csv,1.94,12,128,1,3,batch_hourly
s3,1.19,168,123,0,2,weekly_snapshot
mysql,1.98,6,12,1,3,micro_batch
mysql,0.64,1,89,1,3,stream
s3,11.06,24,133,0,3,batch_daily
s3,4.5,24,12,1,1,batch_daily
s3,5.68,12,161,0,2,batch_hourly
api,7.78,24,100,0,2,batch_daily
mysql,3.45,168,106,0,2,weekly_snapshot
api,0.45,168,9,1,1,weekly_snapshot
s3,3.85,12,90,1,1,batch_hourly
mysql,4.42,168,179,0,2,weekly_snapshot
api,6.84,6,38,1,1,micro_batch
api,2.83,12,197,1,2,batch_hourly
s3,0.68,6,59,1,1,micro_batch
mysql,1.67,1,123,1,3,stream
s3,2.26,6,175,0,3,micro_batch
mysql,5.19,1,162,1,2,stream
csv,4.23,1,118,0,1,stream
postgres,2.2,6,149,0,1,micro_batch
postgres,21.53,12,30,1,3,batch_hourly
postgres,4.65,168,140,0,3,weekly_snapshot
s3,1.35,168,51,1,1,weekly_snapshot
csv,0.54,1,117,1,1,stream
mysql,0.83,1,80,0,1,stream
api,1.41,12,76,0,1,batch_hourly
mysql,0.88,24,93,0,1,batch_daily
api,1.03,6,50,0,1,micro_batch
mysql,1.68,1,37,1,2,stream
csv,0.95,168,5,1,1,weekly_snapshot
api,11.35,12,151,1,3,batch_hourly
s3,0.42,6,35,0,2,micro_batch
mysql,3.72,12,146,0,1,batch_hourly
mysql,2.64,6,57,0,3,micro_batch
api,20.19,6,52,1,2,micro_batch
s3,0.59,1,73,0,3,stream
s3,2.54,12,109,1,1,batch_hourly
csv,17.45,12,94,0,1,batch_hourly
s3,10.03,168,194,1,1,weekly_snapshot
s3,8.49,168,198,1,1,weekly_snapshot
s3,1.49,1,196,0,2,stream
postgres,0.94,1,67,0,2,stream
csv,5.52,24,77,1,3,batch_daily
mysql,13.25,168,165,1,1,weekly_snapshot
api,4.07,6,173,0,3,micro_batch
mysql,4.24,12,93,0,2,batch_hourly
csv,1.64,1,180,1,1,stream
api,7.34,12,17,0,1,batch_hourly
csv,1.04,12,77,1,2,batch_hourly
s3,1.96,24,81,1,2,batch_daily
api,2.77,168,163,0,2,weekly_snapshot
s3,3.54,1,72,0,2,stream
mysql,1.39,12,102,0,2,batch_hourly
mysql,0.61,1,129,0,1,stream
api,4.72,6,106,0,2,micro_batch
api,1.7,24,136,1,1,batch_daily
csv,4.35,6,106,1,1,micro_batch
csv,0.84,1,23,0,2,stream
s3,3.28,1,86,0,2,stream
api,3.8,168,145,0,1,weekly_snapshot
mysql,0.27,12,27,1,2,batch_hourly
csv,2.05,12,87,0,2,batch_hourly
csv,0.72,6,113,0,2,micro_batch
mysql,0.33,24,79,1,3,batch_daily
csv,23.01,12,133,1,1,batch_hourly
s3,1.95,168,92,0,3,weekly_snapshot
api,8.3,6,58,0,2,micro_batch
mysql,1.47,6,93,0,3,micro_batch
api,5.72,168,147,1,2,weekly_snapshot
csv,7.14,24,69,0,3,batch_daily
csv,4.53,168,80,0,2,weekly_snapshot
mysql,3.19,24,147,0,3,batch_daily
s3,2.65,168,153,1,3,weekly_snapshot
postgres,2.15,168,151,1,3,weekly_snapshot
mysql,13.26,1,64,0,1,stream
postgres,8.88,6,97,0,3,micro_batch
postgres,16.77,168,165,1,1,weekly_snapshot
s3,0.66,168,53,1,2,weekly_snapshot
postgres,6.56,12,39,1,3,batch_hourly
postgres,13.93,6,176,1,2,micro_batch
s3,1.0,12,106,1,2,batch_hourly
postgres,0.34,6,15,1,3,micro_batch
postgres,6.76,12,103,1,1,batch_hourly
postgres,4.27,168,114,1,3,weekly_snapshot
mysql,9.22,168,78,1,2,weekly_snapshot
mysql,0.75,1,198,0,2,stream
mysql,7.93,12,178,0,3,batch_hourly
s3,1.13,24,13,0,1,batch_daily
csv,0.89,1,7,1,1,stream
postgres,0.9,12,89,0,2,batch_hourly
postgres,8.43,12,30,1,2,batch_hourly
s3,5.47,1,76,1,1,stream
postgres,3.7,168,52,0,3,weekly_snapshot
mysql,2.22,12,198,1,2,batch_hourly
csv,10.49,168,160,0,1,weekly_snapshot
api,2.49,1,121,0,2,stream
postgres,8.48,168,158,0,3,weekly_snapshot
mysql,2.89,6,157,1,1,micro_batch
api,2.37,24,16,0,2,batch_daily
csv,3.11,12,137,1,3,batch_hourly
api,1.79,24,52,0,2,batch_daily
mysql,6.88,168,41,0,3,weekly_snapshot
api,3.49,12,48,0,3,batch_hourly
s3,1.32,168,19,1,1,weekly_snapshot
api,11.49,6,47,1,3,micro_batch
postgres,2.42,1,180,1,2,stream
postgres,3.92,12,91,0,3,batch_hourly
s3,11.85,6,74,0,3,micro_batch
mysql,4.89,6,50,1,1,micro_batch
postgres,0.62,12,112,1,3,batch_hourly
csv,14.05,168,127,1,3,weekly_snapshot
postgres,4.94,6,175,1,2,micro_batch
postgres,2.04,24,25,1,1,batch_daily
mysql,0.75,6,155,1,1,micro_batch
api,7.9,168,111,0,1,weekly_snapshot
postgres,4.84,168,84,1,3,weekly_snapshot
s3,3.81,24,51,0,1,batch_daily
api,11.22,6,121,0,3,micro_batch
csv,7.77,168,128,1,3,weekly_snapshot
mysql,0.82,12,147,1,2,batch_hourly
csv,1.87,1,29,0,2,stream
api,1.43,1,40,1,2,stream
api,6.81,1,55,1,2,stream
api,0.17,6,19,0,2,micro_batch
csv,4.22,24,72,0,3,batch_daily
api,7.19,168,25,0,3,weekly_snapshot
csv,10.47,12,145,1,1,batch_hourly
api,2.09,12,23,0,3,batch_hourly
s3,8.61,6,38,1,3,micro_batch
api,0.59,1,82,0,2,stream
csv,9.37,6,129,0,3,micro_batch
postgres,0.68,24,121,0,2,batch_daily
api,2.53,24,56,1,1,batch_daily
postgres,7.98,168,31,1,1,weekly_snapshot
s3,0.81,168,161,0,3,weekly_snapshot
mysql,1.3,24,160,0,1,batch_daily
s3,6.41,24,39,0,3,batch_daily
api,6.37,24,140,1,1,batch_daily
postgres,5.12,6,148,0,2,micro_batch
postgres,5.92,24,110,1,2,batch_daily
csv,3.91,12,168,0,2,batch_hourly
postgres,1.45,1,162,0,2,stream
csv,2.12,24,150,0,3,batch_daily
mysql,1.0,1,6,0,1,stream
api,11.95,6,181,0,3,micro_batch
csv,4.38,1,81,0,2,stream
mysql,2.56,6,136,1,3,micro_batch
postgres,3.1,12,94,0,1,batch_hourly
postgres,14.71,6,93,1,3,micro_batch
mysql,0.83,6,98,0,1,micro_batch
postgres,4.41,168,11,0,3,weekly_snapshot
mysql,3.52,24,99,1,1,batch_daily
csv,4.73,24,112,0,1,batch_daily
csv,0.09,12,78,1,2,batch_hourly
mysql,10.28,12,43,1,1,batch_hourly
csv,13.45,24,145,0,2,batch_daily
csv,4.16,168,163,1,2,weekly_snapshot
csv,5.96,24,75,1,2,batch_daily
s3,12.79,168,195,0,3,weekly_snapshot
api,6.14,12,60,1,3,batch_hourly
postgres,0.83,1,174,0,3,stream
s3,4.29,12,193,0,3,batch_hourly
csv,4.67,12,46,0,1,batch_hourly
mysql,2.76,6,188,0,1,micro_batch
csv,6.67,6,40,1,3,micro_batch
api,13.62,6,88,0,1,micro_batch
csv,12.99,6,122,0,1,micro_batch
mysql,3.0,168,11,1,2,weekly_snapshot
api,0.6,24,58,0,2,batch_daily
csv,20.95,1,133,0,2,stream
api,9.13,12,176,1,2,batch_hourly
postgres,0.67,168,124,1,1,weekly_snapshot
postgres,12.68,1,177,1,3,stream
csv,10.2,168,110,1,1,weekly_snapshot
api,3.66,168,51,1,1,weekly_snapshot
mysql,4.47,12,127,1,1,batch_hourly
csv,2.55,24,145,1,2,batch_daily
postgres,0.28,6,123,0,2,micro_batch
postgres,2.04,24,154,1,2,batch_daily
csv,8.12,12,122,1,3,batch_hourly
api,0.02,12,25,1,1,batch_hourly
postgres,2.03,12,141,0,3,batch_hourly
api,2.54,1,30,0,2,stream
postgres,3.85,24,13,1,3,batch_daily
postgres,12.62,24,19,1,1,batch_daily
s3,2.13,168,14,1,1,weekly_snapshot
postgres,2.13,168,126,0,2,weekly_snapshot
mysql,6.69,168,125,0,2,weekly_snapshot
csv,3.01,12,129,1,3,batch_hourly
csv,1.27,24,174,0,2,batch_daily
api,3.01,12,76,1,2,batch_hourly
postgres,0.76,1,156,0,1,stream
mysql,0.97,168,53,0,2,weekly_snapshot
api,3.45,12,158,1,2,batch_hourly
s3,2.71,12,95,1,1,batch_hourly
api,12.32,1,41,1,1,stream
api,2.25,6,72,1,3,micro_batch
postgres,4.34,24,54,0,2,batch_daily
s3,5.0,6,156,0,1,micro_batch
api,0.07,168,23,0,3,weekly_snapshot
mysql,5.45,12,104,1,3,batch_hourly
mysql,0.98,1,64,0,2,stream
csv,16.23,1,171,1,2,stream
s3,0.8,24,93,0,3,batch_daily
s3,2.68,6,150,1,1,micro_batch
csv,0.45,24,151,1,3,batch_daily
api,28.84,12,168,0,2,batch_hourly
s3,3.49,24,187,1,1,batch_daily
mysql,4.52,1,73,1,1,stream
mysql,0.35,1,179,0,3,stream
postgres,6.93,168,53,1,2,weekly_snapshot
s3,1.18,168,112,1,3,weekly_snapshot
api,11.42,12,165,1,3,batch_hourly
csv,1.15,6,123,0,3,micro_batch
csv,1.06,24,153,0,1,batch_daily
api,0.19,12,154,1,1,batch_hourly
postgres,3.19,168,180,0,2,weekly_snapshot
csv,4.16,24,41,1,2,batch_daily
s3,0.34,168,147,1,3,weekly_snapshot
postgres,7.47,24,167,1,3,batch_daily
s3,3.02,6,164,1,3,micro_batch
mysql,3.72,12,15,1,2,batch_hourly
postgres,2.91,24,142,0,1,batch_daily
csv,2.56,1,82,1,1,stream
postgres,4.1,1,81,0,3,stream
postgres,0.84,24,189,0,3,batch_daily
postgres,1.0,24,157,1,3,batch_daily
postgres,9.89,24,6,1,3,batch_daily
s3,14.6,1,68,0,2,stream
mysql,2.34,1,39,0,1,stream
api,1.58,24,11,0,3,batch_daily
postgres,5.16,168,89,1,2,weekly_snapshot
csv,2.63,168,150,0,3,weekly_snapshot
postgres,0.13,6,71,1,3,micro_batch
csv,0.85,12,46,1,1,batch_hourly
s3,6.29,168,122,1,3,weekly_snapshot
csv,5.38,1,129,0,1,stream
api,0.14,168,171,1,1,weekly_snapshot
mysql,1.25,6,173,1,1,micro_batch
csv,1.31,6,28,1,2,micro_batch
csv,5.57,12,192,1,2,batch_hourly
mysql,0.1,168,50,1,1,weekly_snapshot
api,0.55,1,23,0,3,stream
postgres,8.05,1,72,1,1,stream
csv,0.98,24,106,1,3,batch_daily
mysql,5.29,1,46,0,1,stream
s3,1.36,12,36,1,3,batch_hourly
mysql,0.52,12,171,0,2,batch_hourly
s3,1.39,1,113,1,3,stream
api,6.41,1,40,0,1,stream
postgres,9.68,24,101,0,2,batch_daily
mysql,8.87,1,168,1,3,stream
csv,2.53,24,135,1,3,batch_daily
api,5.51,24,77,1,3,batch_daily
mysql,1.15,1,140,0,3,stream
csv,1.73,6,101,0,3,micro_batch
mysql,11.33,6,127,0,2,micro_batch
s3,0.07,24,74,1,2,batch_daily
mysql,0.45,1,173,0,2,stream
mysql,1.17,6,17,0,2,micro_batch
mysql,0.13,1,53,1,1,stream
